SUPPLIER,Mechanical/Electrical,SUPPLIER PART#,8-DIGIT,DESCRIPTION,FROM PROJECT:,DATE,Cycle Count Date,QTY, NET PRICE , TOTAL ,LOCATION
SMC,Electrical,SY3100-5U1,,SALENOID VALVES,,5/6/2021,,6,, $-   ,R1-4-2
,Mechanical,,,Push in conectors/union,,6/24/2021,,4, Bad Part? , $-   ,R1-4-2
SMC,Electrical,SY30M-3-1A-N9,,,,5/19/2021,,2,, $-   ,R1-4-3
SMC,Electrical,SY30M-1-1A-N9,,,,5/19/2021,,2,, $-   ,R1-4-3
SMC,Electrical,SY30M-2-1SA-N7,,,,5/19/2021,,6,, $-   ,R1-4-3
SMC,Electrical,VVQ1000W-27-12,,SMALL SCREWS,,5/25/2021,,30,, $-   ,R1-4-4
SMC,Electrical,VVQ1000W-27-14,,RODS,,5/25/2021,,4,, $-   ,R1-4-4
SMC,Electrical,VVQ1000W-27-?,,LONG RODS,,5/25/2021,,21,, $-   ,R1-4-4
SMC,Electrical,VVQ1000W-27-?,,SCREWS + MISC,,5/25/2021,,40,, $-   ,R1-4-4
SMC,Electrical,VVQ1000W-27-12,,RODS,,5/25/2021,,6,, $-   ,R1-4-4
SMC,Electrical,SY100-30-4A-6,,BLK/RED-WIRES,,5/25/2021,,2,, $-   ,R1-4-4
SMC,Electrical,,,"1/4""  PLUGS",,5/25/2021,,12,, $-   ,R1-4-4
AB,Electrical,440R-EM4R2,,,,10/18/2023,,1,$225 ,$225 ,R6-3-3
,Electrical,089G 725LAA 2G,,VGA-cable,,5/25/2021,,1, Bad Part? , $-   ,R1-4-5
IFM,Electrical,US0041,,"Cuplings 3/4""",,5/25/2021,,2,$46 ,$93 ,R1-4-5
SMC,Electrical,KQ2L09-35AS,,FITTING MALE ELBOW 1/4 X 5/16,,5/11/2021,,23,, $-   ,R1-5-1
AB,Electrical,194R-S1,,Rod,,5/19/2021,,6,$12 ,$72 ,R1-5-2
,Electrical,,,DIN RAILS 1FT,,5/25/2021,,4, Bad Part? , $-   ,R1-5-3
Roxtec,Electrical,RG M63/9 AISI316L,,ROXTEC RG M63,,5/25/2021,,1,, $-   ,R1-5-4
McMaster,,,,3/8 push connector,,5/12/2021,,4,, $-   ,R1-5-5
McMaster,,,,1/2 push connectors,,9/15/2022,,2,, $-   ,R1-5-5
AB,Electrical,700-HN125,,RELAY BASE,,9/7/2022,,1,$6 ,$6 ,R1-6-1
AB,Electrical,700HA 32224 ,,RELAY,,9/7/2022,,1, Bad Part? , $-   ,R1-6-1
IFM,Electrical,E33209,86189124,"ADAPT IFM-CLAMP 2""",,9/7/2022,,2,$62 ,$123 ,R1-6-1
AB,Electrical,1492 WGU,,TERM BLOCKS,,9/7/2022,,7,Bad Part?, $-   ,R1-6-2
AB,Electrical,1492-W4,,TERM BLOCKS,,9/7/2022,,50,$2 ,$108 ,R1-6-2
AB,Electrical,1492-FB1J60,,FUSE HOLDER,,9/7/2022,,1,$22 ,$22 ,R1-6-2
McMaster,,BFA3005TES,,"1/2""BF ST D FLG TXT PPL EPDM Wall Pipe Fitting",,9/7/2022,,1,, $-   ,R1-6-3
McMASTER,,,,"3/8"" PUSH CONNECTOR",,9/7/2022,,3,, $-   ,R1-6-3
McMASTER,,,,"1/4"" PUSH CONNECTOR",,9/7/2022,,4,, $-   ,R1-6-3
